1,Dragon
2,Rabbit
3,Dog
4,Hummingbird
5,Myspace
6,Twitter
7,Facebook
8,Tumblr
9,Germany
10,China
11,France
12,Italy
13,Jupiter
14,Saturn
15,Neptune
16,Earth
17,Bill Hader
18,Steve Jobs
19,Bill Gates
20,Mark Zuckerberg
21,"6"
22,"7"
23,"13"
24,"0"
25,Empire State Building
26,Bank of America Tower
27,One World Trade Center
28,Statue of Liberty
29,Pisces
30,Aquarius
31,Cancer
32,Virgo
33,"Unidentified"
34,Under
35,United
36,Unique
37,"5"
38,"8"
39,‘70s
40,‘80s
41,‘90s
42,Early 2000s
43,The Marauder
44,The Black Pearl
45,The Black Python
46,The Slytherin
47,A bag of lemons
48,A handful of roses
49,A lollipop
50,A box of chocolates
51,A brain
52,An oil can
53,A dog
54,A heart
55,Rachel
56,Joey
57,Gunther
58,Monica
59,A student in Harry’s class
60,A professor at Hogwarts
61,Harry’s birth father
62,Voldemort
63,Charlie Baxter
64,Charlie Brown
65,Charlie Bones
66,Charlie Bucket
67,Serial killers
68,Ghosts
69,Aliens
70,Time travelers
71,The Sixth Sense
72,The Grudge
73,The Shining
74,The Exorcist
75,Zinc
76,Hydrogen
77,Fluorine
78,Iron
79,Venus
80,Mercury
81,Mars
82,O
83,A
84,B
85,AB-Negative
86,Salt
87,Sugar
88,Chlorine
89,Bleach
90,"360"
91,"180"
92,"150"
93,"359"
94,"35"
95,"32"
96,"30"
97,"42"
98,"Every 7 days"
99,"Every 27 days"
100,"Every 30 days"
101,"Every 365 days"
102,Neptune and Jupiter
103,Uranus and Pluto
104,Pluto and Jupiter
105,Neptune and Uranus
106,Baking soda
107,Vinegar
108,"206"
109,"205"
110,"201"
111,"209" 

 
  
